City,"['Latitude', 'Temperature(F)', 'Humidity (%)', 'Cloudiness (%)', 'Wind Speed (mph)']"
Cockburn Town,"[21.46, 81.81, 100, 76, 17.72]"
Avarua,"[-21.21, 71.6, 94, 75, 4.7]"
Tsybli,"[49.99, 75.2, 47, 0, 8.95]"
Brodokalmak,"[55.57, 80.6, 42, 40, 11.18]"
Mezen,"[65.85, 54.81, 71, 76, 8.88]"
Dunedin,"[-45.87, 37.45, 88, 48, 4.85]"
Morristown,"[36.21, 68, 100, 90, 2.84]"
Key Largo,"[25.09, 77.67, 78, 75, 11.23]"
San Patricio,"[-26.98, 56.44, 59, 0, 5.97]"
Kruisfontein,"[-34, 54.1, 89, 80, 23.53]"
Impfondo,"[1.62, 88.2, 64, 0, 3.06]"
Sauce,"[-34.65, 51.8, 76, 0, 16.11]"
Metro,"[-5.11, 80.65, 76, 88, 4.07]"
Burgersdorp,"[-30.99, 46.35, 41, 0, 13.02]"
Coronel Vivida,"[-25.98, 52.56, 87, 0, 7.65]"
Sao Joao da Barra,"[-21.64, 66.2, 93, 75, 4.7]"
Provideniya,"[64.42, 49.06, 100, 48, 8.88]"
Bristol,"[51.45, 70.12, 82, 90, 12.75]"
Murgab,"[37.5, 96.8, 20, 0, 13.87]"
Vila Velha,"[-3.71, 80.6, 78, 20, 11.41]"
Chokurdakh,"[70.62, 39.6, 76, 0, 8.43]"
Guilin,"[25.28, 86, 74, 20, 6.71]"
Cherskiy,"[68.75, 39.15, 81, 20, 5.97]"
Saint Anthony,"[43.97, 46.35, 76, 1, 5.82]"
Salalah,"[17.01, 80.6, 88, 75, 12.75]"
Kachug,"[53.96, 60.94, 79, 8, 1.39]"
Barrow,"[-38.31, 57.06, 63, 76, 16.26]"
Vasterhaninge,"[59.12, 72.43, 43, 0, 8.05]"
Mangla,"[32.54, 65.16, 90, 92, 0.6]"
Maunabo,"[18.01, 80.6, 94, 20, 3.36]"
Sergach,"[55.53, 76.86, 48, 80, 10.67]"
Brainerd,"[46.36, 52.68, 93, 1, 2.95]"
Fairbanks,"[64.84, 54.18, 93, 90, 8.05]"
Ribeira Grande,"[38.52, 73.4, 64, 40, 4.7]"
Ilulissat,"[69.22, 53.6, 37, 75, 23.04]"
Te Anau,"[-45.41, 42.49, 90, 92, 5.41]"
Benghazi,"[32.12, 96.8, 28, 0, 16.6]"
Youhao,"[47.86, 65.16, 69, 0, 4.29]"
Saint-Philippe,"[45.36, 72.46, 88, 90, 6.93]"
Hofn,"[64.25, 49.86, 95, 80, 31.03]"
Nanortalik,"[60.14, 41.95, 100, 24, 1.28]"
Manadhoo,"[5.77, 84.16, 95, 92, 21.3]"
Atuona,"[-9.8, 79.66, 99, 80, 20.74]"
Neuquen,"[-38.95, 55.4, 50, 0, 8.05]"
Soure,"[40.06, 68, 82, 90, 14.99]"
Sosnovo-Ozerskoye,"[52.53, 62.65, 81, 20, 5.41]"
Sumenep,"[-7.02, 80.82, 90, 20, 11.34]"
Russell,"[-33.01, 53.6, 54, 0, 5.82]"
Marzuq,"[14.4, 88.02, 31, 56, 3.96]"
Benevento,"[41.13, 89.2, 55, 0, 6.93]"
Half Moon Bay,"[37.46, 58.93, 87, 90, 9.17]"
Michalovce,"[48.75, 83.35, 37, 0, 6.93]"
Samarai,"[-10.62, 77.14, 100, 76, 13.13]"
La Mira,"[18.04, 77.05, 97, 32, 2.39]"
Acari,"[-6.44, 77.14, 66, 0, 13.24]"
Matara,"[-13.74, 33.8, 55, 75, 2.39]"
Baiyin,"[36.55, 75.2, 57, 40, 8.95]"
Dingle,"[11, 76.6, 93, 92, 11.45]"
Saint-Joseph,"[43.56, 87.31, 62, 0, 8.05]"
Meulaboh,"[4.14, 80.01, 100, 64, 3.62]"
Vostok,"[46.45, 62.46, 59, 32, 3.51]"
Cidreira,"[-30.17, 56.61, 91, 0, 11.45]"
Haines Junction,"[60.75, 44.91, 83, 56, 3.85]"
Sibolga,"[1.74, 72.27, 93, 80, 2.84]"
Sitka,"[37.17, 73, 75, 100, 13.47]"
Clyde River,"[70.47, 41, 80, 1, 5.82]"
Muros,"[42.77, 68, 64, 40, 5.82]"
Bethel,"[60.79, 51.8, 93, 75, 9.17]"
West Helena,"[34.55, 70.65, 100, 40, 7.43]"
Tarakan,"[3.3, 82.54, 93, 92, 2.39]"
Alice Springs,"[-23.7, 55.4, 26, 0, 5.82]"
Buala,"[-8.15, 79.83, 86, 44, 8.43]"
Katsuura,"[33.93, 84.2, 62, 20, 3.36]"
Mar del Plata,"[-46.43, 29.52, 100, 0, 6.76]"
Khani,"[41.96, 86, 66, 75, 13.87]"
Fortuna,"[38.18, 87.87, 58, 20, 9.17]"
Marovoay,"[-16.11, 84.2, 45, 20, 9.17]"
Lumphat,"[13.5, 78.48, 91, 48, 1.95]"
Geraldton,"[49.72, 51.8, 93, 75, 2.62]"
Waingapu,"[-9.65, 76.06, 70, 0, 9.55]"
Aksu,"[52.04, 64.4, 77, 75, 13.42]"
Turayf,"[31.68, 95, 17, 0, 11.41]"
Straumen,"[63.87, 62.6, 67, 75, 4.7]"
Altay,"[47.83, 65.97, 45, 48, 3.51]"
Ostrovnoy,"[68.05, 52.3, 77, 92, 15.26]"
Kapaa,"[22.08, 76.82, 83, 90, 19.46]"
Poum,"[41.28, 77, 53, 20, 6.93]"
Pangody,"[65.85, 63.64, 61, 88, 23.87]"
East London,"[-33.02, 57.2, 54, 40, 27.51]"
Kulhudhuffushi,"[6.62, 83.89, 95, 100, 21.63]"
Casper,"[42.87, 48.2, 81, 1, 6.93]"
Calabozo,"[8.92, 81, 70, 0, 14.36]"
Smiltene,"[57.42, 69.66, 65, 48, 9.44]"
Luang Prabang,"[19.89, 77.31, 81, 80, 1.61]"
Chebsara,"[59.2, 65.89, 74, 76, 9.1]"
Sabang,"[13.72, 80.19, 94, 92, 11.01]"
Dikson,"[73.51, 50.31, 77, 68, 17.49]"
Saldanha,"[41.42, 77.76, 51, 0, 7.54]"
Quatre Cocos,"[-20.21, 77, 50, 75, 11.41]"
Sheltozero,"[61.37, 63.19, 99, 64, 12.46]"
Bambanglipuro,"[-7.95, 73.98, 69, 0, 6.42]"
Naushki,"[50.39, 68.05, 67, 56, 6.76]"
Santiago del Estero,"[-27.8, 67.06, 75, 32, 22.75]"
Coihaique,"[-45.58, 27.91, 98, 0, 4.7]"
Mountain Home,"[43.13, 65.46, 31, 1, 9.17]"
Guerrero Negro,"[27.97, 66.51, 99, 8, 3.4]"
Turbat,"[26, 107.29, 26, 20, 11.45]"
Uyuni,"[-20.46, 17.29, 54, 0, 3.62]"
Gidole,"[5.65, 85.69, 35, 0, 3.18]"
Sur,"[22.57, 90.27, 74, 80, 3.06]"
Kilindoni,"[-7.91, 79.93, 90, 0, 4.97]"
Paka,"[45.29, 86, 51, 20, 4.7]"
Kaitangata,"[-46.28, 43.38, 82, 88, 8.99]"
Longyan,"[25.1, 70.75, 99, 56, 1.05]"
Faranah,"[10.04, 78.66, 80, 92, 9.66]"
Sri Aman,"[1.24, 89.6, 66, 75, 3.36]"
Tezu,"[27.93, 74.07, 91, 24, 0.83]"
Isangel,"[-19.55, 72.45, 100, 24, 11.68]"
Katobu,"[-4.94, 80.65, 90, 0, 6.98]"
Abha,"[18.22, 84.38, 65, 75, 3.36]"
Torbay,"[47.66, 61.29, 88, 75, 6.93]"
Nouadhibou,"[20.93, 71.6, 88, 75, 4.7]"
Tigil,"[57.8, 54.91, 87, 32, 4.52]"
Wum,"[6.39, 72.81, 92, 76, 3.62]"
Bud,"[62.91, 61.36, 82, 75, 4.7]"
Tomatlan,"[19.93, 74.16, 77, 92, 6.2]"
Kloulklubed,"[7.04, 82.4, 83, 90, 4.7]"
Port Macquarie,"[-31.43, 48.2, 57, 0, 3.36]"
Holme,"[53.7, 66.15, 68, 90, 6.93]"
Ulverstone,"[-41.16, 44.74, 92, 92, 10.33]"
Shingu,"[33.72, 80.6, 88, 20, 5.82]"
Zabaykalsk,"[49.64, 71.46, 57, 56, 7.87]"
Malinyi,"[-8.94, 83.97, 46, 0, 3.06]"
Zorritos,"[-3.68, 66.96, 100, 0, 2.17]"
Souillac,"[45.6, 80.42, 65, 48, 14.99]"
Srednekolymsk,"[67.46, 44.56, 72, 32, 4.29]"
Falkenberg,"[49.86, 86.04, 26, 0, 5.82]"
Arucas,"[28.12, 78.8, 69, 20, 32.21]"
Guarapari,"[-20.67, 69.8, 88, 75, 8.05]"
Touros,"[-5.2, 81.45, 77, 36, 14.92]"
Puerto del Rosario,"[28.5, 79, 78, 20, 17.22]"
Ingham,"[-18.65, 67.69, 90, 8, 9.66]"
Isiro,"[2.77, 71.65, 98, 92, 3.18]"
Portland,"[45.52, 63.88, 72, 75, 4.7]"
Aykhal,"[65.95, 61.47, 50, 76, 4.18]"
Birnin Kebbi,"[12.45, 81.81, 97, 36, 11.56]"
Faya,"[18.39, 84.31, 65, 75, 3.36]"
Nome,"[30.04, 77.02, 94, 40, 2.51]"
Hasaki,"[35.73, 71.6, 94, 75, 19.46]"
Bathsheba,"[13.22, 80.6, 78, 20, 18.34]"
Lac du Bonnet,"[50.25, 61.11, 91, 0, 12.01]"
Leningradskiy,"[69.38, 33.57, 100, 56, 17.49]"
Nadym,"[65.53, 56.7, 96, 92, 17.94]"
Chimore,"[-16.98, 62.73, 92, 88, 3.4]"
Pilar,"[-34.46, 53.65, 81, 0, 8.05]"
Santa Rosa de Aguan,"[15.95, 82.08, 99, 32, 10]"
Dukat,"[42.44, 75.51, 62, 76, 2.51]"
San Cristobal,"[-0.39, 48.2, 100, 40, 11.41]"
Baracoa,"[20.35, 81.36, 100, 12, 10]"
Vao,"[59.1, 68.14, 58, 0, 8.77]"
Iquique,"[-20.22, 57.2, 71, 90, 4.7]"
Makakilo City,"[21.35, 78.49, 73, 75, 3.36]"
Coquimbo,"[-29.95, 50, 93, 0, 4.7]"
Rocha,"[-34.48, 49.86, 81, 0, 11.01]"
Chongoyape,"[-6.64, 60.8, 87, 75, 11.41]"
Suluq,"[31.67, 96.8, 28, 0, 5.75]"
Havelock,"[34.88, 76.64, 100, 1, 4.7]"
Ketchikan,"[55.34, 57.2, 87, 1, 4.52]"
Verkhoyansk,"[67.55, 57.06, 63, 0, 2.62]"
Ulaangom,"[49.98, 59.41, 70, 44, 0.94]"
Ancud,"[-41.87, 35.74, 92, 36, 1.95]"
Safranbolu,"[41.25, 86, 51, 20, 13.87]"
Viedma,"[-40.81, 49.51, 74, 92, 2.95]"
Laguna,"[27.52, 78.12, 84, 0, 2.39]"
Ixtapa,"[20.71, 77, 100, 90, 2.39]"
Sola,"[62.78, 62.6, 63, 40, 12.75]"
Launceston,"[-41.43, 44.6, 75, 75, 10.29]"
Tiksi,"[71.64, 54.45, 71, 0, 10.45]"
Acapulco,"[16.86, 78.8, 94, 40, 2.24]"
Gizo,"[31.8, 86.74, 52, 20, 12.75]"
Mercedes,"[-33.25, 52.47, 85, 8, 14.14]"
Shigony,"[53.39, 82.18, 44, 76, 7.43]"
Lebu,"[8.96, 68, 60, 40, 4.7]"
Trinidad,"[-33.52, 48.2, 87, 0, 9.17]"
Beira,"[43.2, 68, 68, 75, 3.36]"
Suksun,"[57.15, 74.44, 67, 44, 10.45]"
Faqirwali,"[29.47, 93.33, 64, 24, 7.99]"
Sioux Lookout,"[50.1, 49.28, 100, 40, 5.82]"
Zakupne,"[49.12, 76.23, 73, 44, 5.41]"
Espanola,"[46.27, 64.08, 97, 0, 4.63]"
Cap Malheureux,"[-19.98, 77, 50, 75, 11.41]"
Kisangani,"[0.52, 79.11, 80, 88, 2.62]"
Lorengau,"[-2.02, 80.73, 100, 32, 4.07]"
Naze,"[5.43, 82.4, 74, 40, 11.41]"
Ahuimanu,"[21.44, 78.44, 73, 75, 3.36]"
Banda Aceh,"[5.56, 79.93, 77, 80, 9.22]"
Diapaga,"[12.07, 75.33, 100, 88, 11.9]"
Sao Geraldo do Araguaia,"[-6.4, 82.26, 80, 20, 4.29]"
Lasa,"[34.92, 86, 70, 20, 13.87]"
Mutoko,"[-17.4, 87.4, 25, 0, 5.08]"
Taltal,"[-25.41, 45.72, 95, 0, 0.94]"
Sampit,"[-2.54, 80.91, 66, 20, 10.78]"
Karratha,"[-20.74, 55.81, 35, 0, 4.41]"
Sharlyk,"[52.93, 80.29, 52, 36, 10.45]"
Tasiilaq,"[65.61, 39.2, 93, 75, 3.36]"
Coahuayana,"[18.62, 64.62, 96, 80, 2.39]"
Port-Cartier,"[50.03, 64.4, 93, 90, 2.51]"
Hovd,"[63.83, 63.54, 67, 75, 4.7]"
Broome,"[52.47, 81.97, 37, 0, 9.17]"
Tyup,"[42.73, 75.79, 26, 76, 2.62]"
Kralendijk,"[12.15, 80.6, 83, 0, 19.46]"
Plettenberg Bay,"[-34.05, 54.45, 100, 80, 22.75]"
Panguna,"[-6.32, 74.7, 85, 92, 4.07]"
Vestmannaeyjar,"[63.44, 51.8, 71, 40, 20.8]"
San Martin,"[37.08, 55.85, 100, 90, 3.36]"
Sao Bernardo,"[-3.36, 82.81, 78, 0, 7.09]"
Mon,"[26.73, 87.66, 85, 20, 2.28]"
At-Bashi,"[41.17, 72.36, 37, 24, 5.08]"
Whitianga,"[-36.83, 57.69, 100, 0, 10.78]"
Hervey Bay,"[-25.3, 61.93, 100, 0, 12.68]"
Amazar,"[53.86, 57.6, 96, 92, 2.51]"
Aktau,"[43.65, 89.6, 29, 0, 13.42]"
Berlevag,"[70.86, 49.93, 76, 75, 23.04]"
Innoshima,"[34.28, 83.17, 58, 20, 5.82]"
Ginir,"[7.14, 82.18, 35, 8, 10.45]"
Lubango,"[-14.92, 82.98, 45, 0, 3.18]"
Hrubieszow,"[50.8, 77.76, 72, 0, 4.97]"
Machinga,"[-15.18, 85.15, 46, 0, 4.63]"
Zonguldak,"[41.25, 86, 51, 20, 13.87]"
Bilma,"[18.69, 97.93, 40, 0, 4.74]"
Freetown,"[26.61, 83.61, 94, 0, 9.89]"
Panjab,"[34.38, 62.82, 55, 0, 2.95]"
Saint George,"[39.45, 91.4, 29, 20, 6.93]"
Linkoping,"[58.41, 72.82, 60, 75, 5.82]"
Axim,"[4.87, 77.22, 98, 92, 14.25]"
Itoman,"[26.12, 84.78, 74, 40, 11.41]"
Ajmer,"[26.47, 83.89, 73, 92, 4.18]"
Nam Dinh,"[20.42, 81.91, 90, 0, 1.28]"
Grand Gaube,"[-20.01, 77, 50, 75, 11.41]"
Vila Franca do Campo,"[37.72, 71.6, 60, 75, 4.7]"
Nishihara,"[35.74, 72.91, 78, 90, 10.29]"
Uribia,"[11.71, 81.64, 72, 0, 23.2]"
Tenenkou,"[14.46, 86.22, 78, 8, 14.14]"
Sesheke,"[-17.47, 89.29, 29, 0, 6.87]"
College,"[64.86, 54.18, 93, 90, 8.05]"
Sai Buri,"[6.7, 88.95, 74, 75, 6.93]"
Palmas,"[-10.18, 86.5, 42, 76, 4.29]"
Namibe,"[-15.19, 65.89, 100, 0, 4.74]"
Kushiro,"[43.11, 59, 77, 75, 3.36]"
Lavrentiya,"[65.58, 45.01, 99, 56, 6.76]"
Fare,"[-16.7, 80.01, 97, 12, 17.27]"
Kem,"[2.68, 77.05, 77, 12, 8.55]"
Georgetown,"[6.8, 73.4, 100, 75, 4.7]"
Zhigansk,"[66.77, 64.54, 60, 0, 3.74]"
Alta Floresta,"[-9.87, 78.66, 72, 0, 2.84]"
Kaukauna,"[44.28, 64.85, 100, 90, 4.7]"
Chernyshevskiy,"[63.01, 62.56, 57, 88, 4.97]"
New Waterford,"[40.85, 68.9, 100, 75, 2.84]"
Kozhva,"[65.11, 60.12, 98, 100, 3.96]"
Los Llanos de Aridane,"[28.66, 77, 73, 20, 16.11]"
Nova Olimpia,"[-14.8, 66.96, 100, 12, 4.18]"
Byron Bay,"[-28.65, 55.4, 47, 0, 4.7]"
Coronado,"[8.53, 79.47, 100, 20, 10.67]"
Makokou,"[0.56, 80.91, 74, 44, 3.18]"
San Quintin,"[17.54, 84.2, 79, 75, 2.24]"
Nador,"[35.17, 88.9, 78, 20, 3.36]"
Sungairaya,"[0.7, 80.91, 76, 24, 4.85]"
Wajir,"[1.75, 89.46, 42, 0, 11.79]"
Sakrand,"[26.14, 104, 40, 20, 9.17]"
Varzea da Palma,"[-17.6, 70.02, 78, 36, 7.76]"
Manaus,"[-3.13, 76.05, 83, 20, 2.24]"
Mackay,"[53.65, 53.6, 87, 20, 3.36]"
Lerwick,"[60.15, 58.1, 82, 75, 12.75]"
Hole Narsipur,"[12.78, 70.11, 93, 88, 15.37]"
Quemado de Guines,"[22.79, 73.4, 94, 20, 3.36]"
Nelson Bay,"[-32.72, 50, 57, 0, 5.82]"
Ust-Tsilma,"[65.44, 53.91, 98, 92, 7.54]"
Biloela,"[-24.4, 45.63, 52, 0, 7.09]"
Vestmanna,"[62.16, 51.8, 93, 12, 14.99]"
Miyazu,"[35.58, 69.75, 82, 0, 3.85]"
Kirkenes,"[69.73, 51.1, 76, 75, 14.99]"
Tolga,"[34.73, 87.8, 52, 40, 5.82]"
Neryungri,"[56.66, 56.25, 82, 92, 2.62]"
Mingaora,"[34.78, 68.31, 100, 92, 1.61]"
Ukiah,"[39.15, 64.4, 39, 90, 2.06]"
Preeceville,"[51.95, 62.91, 61, 68, 9.22]"
Vilhena,"[-12.74, 72, 87, 24, 2.84]"
Partizansk,"[43.13, 65.44, 57, 100, 2.51]"
Polysayevo,"[54.6, 70.56, 66, 0, 4.18]"
Atasu,"[48.68, 82.35, 53, 0, 5.64]"
Pudozh,"[61.81, 64.81, 76, 36, 9.44]"
Mwinilunga,"[-11.73, 84.87, 21, 0, 5.19]"
Niigata,"[37.91, 78.8, 65, 75, 2.24]"
Charlotte,"[35.23, 68.18, 100, 1, 4.07]"
Takoradi,"[4.89, 77.94, 95, 80, 11.23]"
Black River,"[18.03, 80.6, 69, 20, 5.82]"
Sayhat,"[26.49, 109.49, 47, 0, 21.92]"
Wasilla,"[61.58, 58.26, 93, 90, 3.36]"
Sao Jose da Coroa Grande,"[-8.9, 73.54, 100, 88, 8.99]"
Arys,"[42.43, 100.4, 15, 0, 15.66]"
Pauini,"[-7.71, 71.73, 87, 0, 4.52]"
Ullapool,"[57.9, 54.81, 100, 80, 16.6]"
Itagi,"[-14.16, 70.66, 82, 48, 3.62]"
Santa Cruz,"[36.97, 54.27, 100, 90, 3.36]"
Port Augusta,"[-32.49, 55.4, 66, 40, 10.29]"
Grindavik,"[63.84, 50, 76, 75, 25.28]"
Berezovyy,"[51.67, 63.45, 61, 64, 1.72]"
Mount Gambier,"[-37.83, 51.49, 95, 92, 12.68]"
Beja,"[38.02, 77, 57, 0, 12.46]"
Miragoane,"[18.44, 82, 100, 0, 5.75]"
Esmeraldas,"[-19.76, 63.5, 88, 0, 4.7]"
Nacala,"[-14.56, 82.26, 73, 0, 4.41]"
Nouakchott,"[18.08, 77.31, 100, 56, 10.56]"
Piacabucu,"[-10.41, 82.18, 61, 20, 9.89]"
Kununurra,"[-15.77, 69.8, 35, 0, 4.7]"
Las Vegas,"[36.17, 82.56, 10, 1, 3.18]"
Oktyabrskoye,"[56.73, 64.98, 56, 0, 5.75]"
Westport,"[53.8, 55.4, 76, 40, 10.29]"
Baruun-Urt,"[46.68, 66.06, 57, 0, 7.31]"
Gilgit,"[35.92, 68.41, 20, 44, 0.6]"
Danville,"[36.59, 69.82, 100, 90, 3.62]"
Kamarion,"[36.8, 84.51, 43, 0, 19.46]"
Puerto Carreno,"[6.19, 72.36, 95, 20, 0.83]"
Dickinson,"[46.88, 60.8, 67, 1, 11.41]"
Hamilton,"[43.26, 69.8, 100, 90, 8.05]"
Auki,"[12.18, 83.16, 78, 12, 11.45]"
Mount Isa,"[-20.73, 51.8, 25, 0, 5.82]"
Aquiraz,"[-3.9, 80.6, 78, 20, 11.41]"
Churapcha,"[62, 60.31, 91, 48, 2.51]"
Paragominas,"[-3, 78.21, 83, 56, 7.43]"
Horta,"[41.43, 87.76, 62, 40, 8.05]"
Ahipara,"[-35.17, 46.45, 100, 24, 6.08]"
